in:fs_0,in:np_0,in:fA_0,in:fB_0,in:fs_1,in:np_1,in:fA_1,in:fB_1,in:fs_2,in:np_2,in:fA_2,in:fB_2,in:fs_3,in:np_3,in:fA_3,in:fB_3,in:fs_4,in:np_4,in:fA_4,in:fB_4,in:fs_5,in:np_5,in:fA_5,in:fB_5,in:fs_6,in:np_6,in:fA_6,in:fB_6,in:fs_7,in:np_7,in:fA_7,in:fB_7,in:fs_8,in:np_8,in:fA_8,in:fB_8,in:fs_9,in:np_9,in:fA_9,in:fB_9,in:fs_10,in:np_10,in:fA_10,in:fB_10,in:fs_11,in:np_11,in:fA_11,in:fB_11,in:fs_12,in:np_12,in:fA_12,in:fB_12,out:StaticAction,out:IntersectBars,out:InterimForces,out:minLength,out:maxLength,out:minForce,out:maxForce,out:ID,img
0.16,0.24,0.58,0,0.72,0,0,0,0.88,0,0,0,0.08,0.16,-0.75,0,0.86,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,2.58,11.69,2.32,12.96,27,Frame_00027.png
0.98,0,0,0,0.33,0.78,-0.19,0,0.51,0,0,0,0,0.26,-0.33,0,0.15,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600.9,0,0,3,11.69,0.95,12.96,28,Frame_00028.png
0.31,0.67,-0.1,0,0.62,0,0,0,0.34,0,0,0,0.24,0.07,-0.44,0,0.86,0,0,0,0.21,0.78,0.14,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0,2.7,11.23,0.5,13.42,29,Frame_00029.png
0.16,0.61,-0.41,0,0.98,0,0,0,0.08,0.27,0.02,0,0.51,0,0,0,0.49,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604.8,0,0,3,11.69,0.1,12.96,30,Frame_00030.png
0.44,0.83,-0.41,0,0.08,0,0,0,0.44,0,0,0,0.67,0,0,0,0.22,0.9,0.8,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,0,3,11.7,2.05,9.65,31,Frame_00031.png
0.96,0,0,0,0.95,0,0,0,0.26,0.82,0.37,0,0.88,0,0,0,0.42,0.15,-0.94,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608.4,0,0,2.89,11.71,1.85,12.96,32,Frame_00032.png
0.17,0.34,-0.21,0,0,0.17,-0.54,0,0.78,0,0,0,0.63,0,0,0,0.38,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614.9,0,0,3,11.69,1.05,12.96,33,Frame_00033.png
0.13,0.26,-0.48,0,0.67,0,0,0,0.73,0,0,0,0.36,0.14,0.04,0,0.9,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615.1,0,0,2.33,11.74,0.2,12.96,34,Frame_00034.png
0.22,0.67,-0.55,0,0.97,0,0,0,0.78,0,0,0,0.72,0,0,0,0.41,0.93,0.65,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619.7,0,0,2.02,11.69,2.75,11.26,35,Frame_00035.png
0.11,0,-0.51,0,0.61,0,0,0,0.61,0,0,0,0.35,0.86,0.32,0,0.05,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.7,0,0,2.61,12,1.6,11.37,36,Frame_00036.png
0.51,0.76,-0.32,0,0.67,0,0,0,0,0.3,-0.39,0,0.64,0,0,0,0.96,0,0,0,0.88,0.95,0.88,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621.1,0,0,2.55,11.7,1.6,10.13,37,Frame_00037.png
0.98,0,0,0,0.94,0,0,0,0.76,0.6,0.41,0,0.59,0.73,-0.63,0,0.6,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.5,0,0,2.27,11.69,2.05,13.26,38,Frame_00038.png
0.36,0.23,-0.09,0,0.14,0,0,0,0.57,0.12,-0.34,0,0.46,0,0,0,0.9,0,0,0,0.45,0.29,-0.18,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.8,0,0,2.46,11.66,0.45,14.23,39,Frame_00039.png
0.14,0.91,-0.62,0,0.16,0.42,0.01,0,0.81,0,0,0,0.86,0,0,0,0.5,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625.1,0,0,3,11.85,0.05,12.96,40,Frame_00040.png
0.18,0.68,-0.6,0,0.99,0,0,0,0.89,0,0,0,0.9,0,0,0,0.49,0.08,0.48,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625.1,0,0,3,11.69,2.4,11.5,41,Frame_00041.png
