in:fs_0,in:fs_1,in:fs_2,in:fs_3,in:fs_4,in:fs_5,in:fs_6,in:fs_7,in:fs_8,in:fs_9,in:fs_10,in:fs_11,in:fs_12,out:StaticAction,out:IntersectBars,out:InterimForces,out:minLength,out:maxLength,out:minForce,out:maxForce,out:ID,img
0.16,0.97,0.9,0.8,0.44,0.45,0,0,0,0,0,0,0,654.2,0,0,3,11.69,0.1,12.86,59,Frame_00059.png
0.29,0.21,0.08,0.16,0.41,0,0.62,0,0,0,0,0,0,656.2,0,0,3.22,11.65,0.85,13.76,60,Frame_00060.png
0.98,0.37,0.54,0.02,0.25,0.57,0,0,0,0,0,0,0,659.5,0,0,2.24,11.69,0.75,12.96,61,Frame_00061.png
0.15,0.97,0.81,0.01,0.01,0.31,0,0,0,0,0,0,0,663.8,0,0,3,12,2.7,12.96,62,Frame_00062.png
0.22,0.69,0.71,0.4,0.07,0.96,0,0,0,0,0,0,0,666.1,0,0,3,11.69,1.5,14.46,63,Frame_00063.png
0.16,0.04,0.84,0.61,0.75,0.53,0,0,0,0,0,0,0,668,0,0,2.45,11.89,0.6,13.61,64,Frame_00064.png
0.1,0.68,0.03,0.6,0.13,0.88,0,0,0,0,0,0,0,674.6,0,0,3,11.69,0.35,13.73,65,Frame_00065.png
0.96,1,0.62,0.13,0.11,0.12,0.65,0,0,0,0,0,0,675.3,0,0,3,11.96,1.27,15.1,66,Frame_00066.png
0.13,0.11,0.75,0.92,0.51,0.12,0,0,0,0,0,0,0,675.9,0,0,3,11.69,1,13.71,67,Frame_00067.png
0.2,0.01,0.82,0.46,0.43,0.93,0,0,0,0,0,0,0,683.2,0,0,2.36,11.69,2.45,14.87,68,Frame_00068.png
0.21,0.7,0.61,0.02,0.26,0.95,0,0,0,0,0,0,0,683.6,0,0,3,11.69,1.1,13.93,69,Frame_00069.png
0.09,0.67,0.07,0.57,0.9,0.84,0,0,0,0,0,0,0,693.5,0,0,3,11.86,2.1,14.37,70,Frame_00070.png
0.21,0.94,0.84,0.03,0.98,0.35,0,0,0,0,0,0,0,694.7,0,0,3,11.87,4.15,12.96,71,Frame_00071.png
0.16,0.67,0.78,0.42,0.14,0.4,0.64,0.6,0,0,0,0,0,695.9,0,0,2.35,11.77,2.2,11.11,72,Frame_00072.png
0.05,0.92,0.12,0.11,0.45,0.84,0,0,0,0,0,0,0,696.6,0,0,3,11.69,2.9,15,73,Frame_00073.png
0.22,0.69,0.87,0.01,0.07,0.28,0.84,0,0,0,0,0,0,701.2,0,0,2.4,11.69,1.4,12.96,74,Frame_00074.png
0.16,0.1,0.86,0.5,0.56,0.73,0,0,0,0,0,0,0,704.6,0,0,2.87,11.96,4.1,15.58,75,Frame_00075.png
0.26,0.28,0.95,0.41,0.57,0.38,0.11,0,0,0,0,0,0,715.4,0,0,3,11.54,1.85,11.43,76,Frame_00076.png
0.62,0.61,0.3,0.09,0.71,0.62,0.6,0,0,0,0,0,0,726.4,0,0,2.06,11.73,1.3,18.5,77,Frame_00077.png
0.04,0.7,0.64,0.89,0.99,0.26,0.69,0,0,0,0,0,0,750.1,0,0,2.85,11.69,2.3,12.96,78,Frame_00078.png
0.95,0.56,0.36,0.06,0.62,0.23,0.06,0,0,0,0,0,0,826.6,0,0,2.85,11.98,2.55,14.6,79,Frame_00079.png
0.96,0.49,0.2,0.81,0.82,0.21,0.59,0.48,0.29,0.23,0,0,0,1113.7,0,0,2.09,11.67,0.3,16.94,80,Frame_00080.png
0.12,0.69,0.23,0.15,0.12,0.62,0,0,0,0,0,0,0,560.4,1,0,3,11.86,0.05,12.96,81,Frame_00081.png
0.54,0.66,0.37,0.86,0.69,0.12,0,0,0,0,0,0,0,596.2,1,0,2.51,11.86,1,9.65,82,Frame_00082.png
0.09,0.69,0.61,0.29,0.58,0.56,0,0,0,0,0,0,0,597.3,1,0,2.79,11.69,0.65,12.96,83,Frame_00083.png
0.29,0.65,0.51,0.01,0.6,0.9,0,0,0,0,0,0,0,599.5,1,0,3,11.75,1.8,9.65,84,Frame_00084.png
0.09,0.66,0.88,0.03,0.74,0.52,0.87,0.77,0,0,0,0,0,611.7,1,0,2.42,12,1.1,14.14,85,Frame_00085.png
0.95,0.36,0.36,0.88,0.1,0.16,0,0,0,0,0,0,0,617.6,1,0,2.17,11.69,1.62,12.96,86,Frame_00086.png
0.97,0.23,0.49,0.26,0.39,0.58,0,0,0,0,0,0,0,622.6,1,0,2.1,11.69,1.79,12.96,87,Frame_00087.png
1,0.41,0.41,0.58,0.02,0.41,0.67,0.47,0,0,0,0,0,628.5,1,0,2.1,11.65,0.05,12.92,88,Frame_00088.png
0.59,0.35,0.34,0.03,0.47,0.43,0.46,0,0,0,0,0,0,628.6,1,0,2.11,11.6,0.55,9.65,89,Frame_00089.png
0.15,0.31,0.64,0.59,0.28,0.55,0,0,0,0,0,0,0,638.7,1,0,3,11.69,0.25,12.96,90,Frame_00090.png
0.17,0.31,0.88,0.53,0.85,0.63,0,0,0,0,0,0,0,647.1,1,0,2.18,11.69,0.85,12.96,91,Frame_00091.png
0.99,0.04,0.3,0.02,0.15,0.96,0,0,0,0,0,0,0,651.7,1,0,3,11.69,1,12.96,92,Frame_00092.png
0.54,1,0.59,0.14,0.67,0.84,0,0,0,0,0,0,0,660.4,1,0,2.56,11.98,1.1,10,93,Frame_00093.png
0.63,0.63,0.63,0.93,0.18,0.5,0,0,0,0,0,0,0,660.8,1,0,3,11.91,2.75,11.2,94,Frame_00094.png
0.21,0.29,0.56,0.68,0.66,0.81,0.32,0,0,0,0,0,0,668.7,1,0,2.39,11.85,1.92,12.96,95,Frame_00095.png
0.19,1,0.12,0.39,0,0.86,0.53,0,0,0,0,0,0,674,1,0,2.26,11.32,1.45,10.26,96,Frame_00096.png
0.57,0.99,0.51,0.34,0.55,0.37,0,0,0,0,0,0,0,686,1,0,3.06,11.98,1.2,10,97,Frame_00097.png
0.15,0.35,0.67,0.4,0.31,0.24,0.22,0.09,0,0,0,0,0,686.6,1,0,2.26,11.87,0.6,16.17,98,Frame_00098.png
0.83,0.83,0.15,0.3,0.02,0.06,0.83,0,0,0,0,0,0,688.2,1,0,2.1,11.37,0.4,13.18,99,Frame_00099.png
0.02,0.69,0.09,0.42,0.36,1,0.21,0,0,0,0,0,0,694.3,1,0,3,11.89,0.98,11.13,100,Frame_00100.png
0.5,0.66,0.9,0.29,0.39,0.97,0.95,0,0,0,0,0,0,695.5,1,0,3,11.78,0.05,13.01,101,Frame_00101.png
